important_econ,important_gayr,educ,birthyr,pol_interest,pid3,unimportant_budget,unimportant_abort,gender
,1,5,1943,2,1,4,4,2
1,1,2,1956,2,2,4,3,2
1,4,2,1937,3,2,4,3,2
1,3,3,1940,3,2,4,3,1
1,4,2,1946,3,2,4,3,1
1,4,2,1933,3,2,4,3,1
1,2,6,1979,3,3,4,3,2
1,1,3,1963,2,1,4,2,1
1,3,6,1954,2,1,3,2,2
1,2,2,1975,2,2,4,4,1
1,2,3,1953,3,1,3,3,1
1,3,3,1959,3,3,4,4,1
1,1,5,1960,3,1,4,3,2
1,3,6,1951,3,2,4,4,1
1,3,5,1955,3,1,3,1,2
1,1,3,1957,3,2,3,1,2
1,4,2,1956,1,1,4,1,1
1,1,4,1973,3,3,1,3,1
1,1,5,1975,3,1,3,4,2
2,3,3,1968,3,1,3,1,2
1,1,3,1959,2,1,3,4,2
1,4,2,1949,2,1,3,1,1
1,3,6,1946,3,3,4,2,2
1,4,6,1948,3,2,4,1,2
1,2,6,1964,3,1,2,2,2
1,3,5,1955,3,1,3,2,1
1,4,5,1945,3,3,4,3,1
1,2,6,1946,3,3,4,4,1
1,4,4,1946,3,2,4,3,2
1,3,6,1972,3,2,4,2,2
1,4,6,1948,3,2,4,2,2
1,3,6,1937,3,1,3,2,2
1,3,2,1954,3,1,3,2,1
1,4,5,1957,2,1,3,3,2
1,2,6,1967,3,3,4,3,1
1,4,2,1946,3,2,4,4,2
1,4,3,1949,3,1,4,2,1
1,4,3,1952,3,2,4,3,1
1,3,4,1964,3,2,4,2,1
1,4,6,1944,3,2,4,2,2
1,4,5,1970,2,2,4,1,2
1,4,5,1949,3,2,4,2,2
1,1,5,1949,3,2,4,4,1
1,4,3,1945,3,3,4,2,1
1,4,5,1959,3,2,4,1,1
1,,6,1942,3,2,4,4,1
5,5,3,1944,3,3,5,5,1
1,2,2,1961,1,1,4,4,2
1,2,5,1963,3,1,2,3,1
1,1,6,1956,3,1,1,1,2
1,3,5,1964,3,2,4,4,1
1,1,5,1963,3,3,4,4,2
2,3,4,1939,2,1,2,1,2
1,4,6,1972,3,2,4,3,1
1,4,6,1980,2,1,4,4,1
1,4,5,1956,3,2,4,1,2
1,3,2,1958,3,1,3,2,2
1,3,5,1962,3,2,4,4,1
2,3,5,1954,3,1,3,4,1
1,2,6,1967,3,3,4,1,2
1,3,2,1963,3,2,4,2,1
1,4,6,1956,3,2,3,1,1
1,3,3,1965,2,2,4,3,2
1,1,6,1979,3,1,3,4,1
1,3,6,1968,3,2,4,2,1
1,4,4,1965,3,2,4,2,2
1,2,2,1966,4,1,4,3,1
2,2,5,1966,3,1,3,3,2
1,1,5,1969,2,1,3,4,1
1,4,3,1955,3,2,4,4,1
1,2,6,1967,3,1,3,1,2
2,,3,1957,3,2,,4,1
1,2,3,1973,3,3,3,2,1
1,4,4,1958,2,2,4,2,2
1,4,2,1972,2,1,4,3,1
1,3,5,1962,3,2,4,2,2
1,3,6,1954,3,1,4,1,2
1,1,6,1952,3,1,4,3,1
1,1,5,1964,3,1,4,2,2
1,1,5,1961,3,1,3,2,1
1,4,5,1951,2,3,4,1,2
1,1,5,1971,3,1,4,4,2
1,4,2,1949,2,2,4,4,1
1,2,3,1949,2,1,3,3,1
4,4,2,1950,2,1,1,1,2
1,1,5,1932,3,,2,4,1
1,4,2,1943,3,2,4,2,1
1,3,5,1955,3,3,4,2,1
1,2,2,1947,3,3,4,1,1
1,2,3,1936,3,1,2,2,1
1,2,5,1968,2,1,4,4,2
2,4,3,1964,3,2,3,3,2
1,1,5,1969,3,1,3,3,1
1,4,5,1953,3,1,4,3,1
1,1,5,1967,3,1,4,3,1
1,4,2,1947,1,1,2,1,2
1,4,6,1964,3,3,4,4,1
1,1,6,1972,3,1,3,3,2
1,4,3,1940,3,2,4,2,1
1,3,6,1948,3,2,4,2,1
1,4,3,1983,3,2,4,2,1
1,3,2,1958,3,2,4,2,2
1,3,3,1969,3,3,4,3,2
1,1,3,1966,3,2,4,4,1
1,1,2,1973,2,1,4,4,1
1,3,3,1967,3,2,4,3,1
1,4,4,1984,3,1,1,1,1
1,1,6,1968,2,1,4,4,1
1,1,6,1970,3,2,4,2,1
1,2,2,1940,3,3,4,3,2
1,4,6,1948,3,3,4,4,2
1,3,6,1948,2,1,2,1,1
2,3,5,1965,2,1,3,4,1
2,2,2,1931,3,1,4,3,2
1,4,2,1961,1,3,4,4,1
1,1,3,1968,3,,2,4,1
1,2,4,1949,3,1,3,3,1
1,4,2,1942,3,2,4,3,2
2,3,5,1963,3,1,2,1,1
1,1,5,1982,3,3,4,2,1
1,4,3,1959,2,2,4,2,2
1,1,6,1957,3,1,3,4,1
1,2,5,1959,3,1,4,4,1
1,4,3,1953,3,2,4,4,2
1,4,5,1951,3,2,4,2,2
1,4,3,1956,3,2,4,3,2
1,3,6,1949,3,1,2,2,2
1,3,6,1937,3,2,4,2,1
1,2,3,1946,3,1,4,1,1
2,2,6,1963,3,1,2,2,2
1,4,2,1955,3,1,4,2,1
1,3,2,1935,3,2,3,2,1
1,2,5,1953,3,1,2,1,2
1,1,6,1972,3,3,2,2,1
1,4,5,1968,3,2,4,2,2
1,3,6,1963,3,2,4,1,2
1,2,6,1969,2,2,4,4,1
2,2,3,1965,3,1,3,1,1
1,1,4,1975,3,1,3,4,2
1,3,5,1957,3,2,4,4,1
5,5,3,1963,3,1,5,5,1
1,4,5,1959,2,2,3,3,1
1,3,6,1954,3,2,4,4,1
1,2,6,1947,3,1,3,3,2
1,4,6,1967,3,2,3,4,2
1,4,2,1934,1,2,4,3,2
1,2,6,1972,3,1,3,2,1
1,4,5,1971,3,3,4,1,2
1,2,5,1950,3,1,3,4,2
1,1,1,1945,3,2,4,4,1
1,2,5,1968,3,1,3,2,2
1,4,2,1944,2,1,3,2,1
1,2,6,1953,3,1,4,4,2
1,3,3,1963,3,2,4,3,1
1,3,3,1962,3,2,4,2,2
1,2,2,1953,3,2,4,4,1
1,1,3,1947,3,1,3,4,2
1,2,3,1962,2,2,4,3,2
1,3,3,1965,3,2,4,4,2
1,2,6,1942,3,1,4,1,1
1,3,6,1957,2,3,4,3,1
1,1,6,1961,3,1,4,3,2
1,4,3,1953,2,2,,3,2
1,2,3,1946,3,1,3,4,1
1,2,3,1956,2,2,4,4,1
2,3,4,1951,3,1,3,1,2
1,1,5,1974,3,1,3,4,1
1,1,3,1964,3,1,2,4,1
1,1,5,1974,3,1,2,1,2
1,1,3,1952,3,,2,3,2
1,1,2,1931,2,1,4,3,2
1,4,2,1956,3,2,4,4,2
1,4,6,1948,3,1,3,1,2
1,3,5,1963,3,1,3,1,2
1,4,2,1949,3,2,4,4,1
1,2,4,1969,3,2,1,2,2
1,2,6,1963,3,3,2,1,2
1,3,6,1931,3,2,4,2,1
1,4,5,1971,2,1,3,3,1
2,3,2,1937,3,2,4,4,1
1,4,5,1981,2,1,4,1,1
1,3,6,1962,3,1,3,3,1
5,5,4,1963,2,2,5,5,1
1,4,3,1938,3,1,4,3,1
1,3,4,1966,2,1,4,4,2
1,1,3,1972,3,2,4,4,1
1,4,2,1949,2,1,1,1,2
1,2,5,1945,3,2,4,3,1
1,3,6,1974,3,1,2,2,1
1,2,2,1981,2,2,3,1,2
1,2,5,1967,3,1,1,4,2
1,2,5,1965,3,2,4,4,2
1,4,2,1937,3,2,4,1,1
1,2,5,1960,3,1,4,2,2
1,4,5,1949,3,2,4,2,2
1,3,2,1960,1,1,3,3,1
1,2,6,1960,2,2,4,1,2
1,2,4,1948,3,2,4,3,2
1,3,3,1977,3,2,4,3,1
,,5,1941,3,2,,3,2
1,1,5,1975,3,2,4,4,2
1,3,4,1969,3,1,3,2,1
1,4,3,1955,3,2,4,2,1
1,3,3,1950,3,2,2,2,2
1,3,5,1956,2,2,4,2,2
1,3,3,1986,2,1,3,2,1
1,3,5,1971,3,2,3,1,1
2,3,3,1979,2,2,4,1,2
1,4,3,1960,3,3,4,3,1
1,2,6,1950,3,1,4,3,2
1,3,3,1955,3,1,4,2,1
1,1,1,1953,3,1,1,3,2
1,3,6,1961,3,3,4,2,2
1,3,6,1953,3,2,4,2,2
2,2,2,1941,3,1,3,2,2
1,2,4,1956,3,1,4,4,2
1,4,6,1952,3,2,4,1,2
1,4,6,1978,3,2,4,1,1
1,4,2,1941,3,2,4,3,2
1,2,6,1968,2,1,4,4,2
1,2,5,1952,3,1,2,2,1
1,1,4,1954,3,1,4,1,2
1,4,3,1935,3,2,4,4,1
1,4,5,1954,3,2,4,4,1
2,2,5,1969,3,1,2,4,2
2,3,4,1956,2,2,4,2,2
1,4,3,1949,2,1,2,2,1
1,3,2,1944,2,3,4,2,2
1,4,4,1948,2,1,2,1,1
1,2,5,1958,3,1,4,3,2
1,4,5,1953,3,2,4,4,1
1,2,5,1973,3,2,3,4,1
1,1,5,1958,3,2,4,4,1
1,1,5,1970,3,1,3,1,1
1,3,6,1952,3,1,3,3,1
1,2,6,1967,3,1,3,3,2
1,1,4,1977,2,1,4,4,2
1,2,6,1982,1,2,4,4,1
1,2,6,1966,3,1,3,1,1
2,2,3,1955,3,1,2,3,2
1,1,2,1927,2,1,3,3,2
1,1,3,1943,3,2,4,3,1
1,1,4,1960,2,1,4,1,2
1,1,6,1958,3,2,4,4,1
1,2,5,1983,3,1,4,3,1
1,3,3,1952,3,2,4,3,1
1,1,6,1957,3,1,3,4,2
1,1,2,1946,3,1,3,4,1
1,3,5,1950,3,2,4,1,1
1,3,6,1983,2,2,4,4,1
1,3,6,1979,3,3,4,2,1
1,2,2,1956,2,1,3,1,1
1,1,5,1961,3,1,4,3,2
1,2,5,1960,3,1,1,3,1
1,2,5,1981,3,2,4,1,1
1,1,5,1956,3,3,4,4,2
1,3,5,1958,3,1,2,4,2
1,4,3,1961,3,2,4,2,1
1,3,5,1955,3,1,2,4,2
1,4,2,1963,1,3,3,1,1
1,4,3,1950,2,3,4,2,1
1,4,2,1952,3,3,4,4,1
1,3,5,1955,3,1,1,2,2
1,2,3,1958,3,1,3,2,2
1,2,3,1942,3,1,2,4,2
1,1,6,1961,3,1,4,4,1
1,3,5,1955,3,2,4,3,1
1,3,4,1947,2,1,4,3,1
1,4,5,1964,3,2,4,3,1
1,3,5,1949,3,1,4,2,1
1,3,3,1978,3,2,4,4,1
1,1,5,1949,3,1,3,2,2
1,1,2,1936,3,2,4,4,2
1,4,2,1937,2,3,4,1,2
1,3,5,1960,3,1,4,2,2
1,2,5,1962,3,1,2,2,1
2,2,5,1976,2,1,4,4,2
1,3,5,1951,3,2,4,1,2
1,4,5,1979,3,1,4,1,1
1,4,5,1961,3,2,4,2,2
1,3,6,1939,3,2,4,2,1
1,1,3,1953,3,2,4,4,2
1,3,3,1962,3,2,4,2,1
1,2,4,1967,3,2,4,3,1
1,2,5,1970,3,1,2,1,2
2,3,5,1983,2,1,3,2,2
1,2,2,1955,2,3,4,4,1
1,1,4,1976,2,1,3,1,2
1,1,6,1982,3,2,4,4,2
1,1,3,1960,3,1,4,3,2
1,4,5,1977,3,2,4,3,1
1,3,3,1943,3,1,4,2,2
1,3,5,1957,3,1,4,2,1
1,3,5,1952,3,1,4,1,2
1,1,3,1955,3,1,3,4,2
2,1,2,1961,2,1,3,3,1
1,3,5,1973,2,2,4,3,2
1,4,4,1960,2,2,4,1,2
1,4,2,1961,3,2,4,4,2
1,4,5,1973,3,2,4,1,1
1,1,5,1954,3,1,4,4,2
1,2,3,1955,3,1,4,2,1
1,1,6,1960,2,3,4,3,2
1,1,3,1971,3,1,3,4,2
1,3,2,1952,2,2,4,2,1
2,3,2,1960,3,1,2,1,2
1,1,2,1960,2,1,3,2,1
1,1,4,1943,2,1,4,4,2
1,4,3,1949,3,1,3,4,1
1,2,3,1959,3,1,3,3,1
1,3,5,1959,3,2,4,1,2
1,3,5,1948,3,3,4,3,2
1,1,6,1981,1,2,4,4,1
1,1,6,1948,3,1,3,3,2
1,1,6,1949,3,3,4,4,1
1,1,6,1961,3,2,4,4,1
1,1,5,1959,3,1,4,3,1
1,3,3,1950,3,2,4,3,1
1,4,3,1966,3,2,4,3,2
1,3,4,1956,3,3,4,3,2
2,2,3,1960,2,1,3,1,2
1,4,3,1969,2,3,4,4,1
2,2,2,1975,3,1,4,1,1
1,1,6,1986,3,1,4,4,1
1,1,6,1980,3,1,4,4,2
1,4,3,1974,3,2,4,4,1
1,2,5,1973,3,1,3,3,1
1,3,6,1966,2,1,3,2,2
1,1,4,1985,3,2,4,4,2
1,1,5,1971,3,1,4,3,2
1,2,5,1984,2,1,2,3,1
1,3,3,1949,3,1,2,2,1
1,1,5,1976,2,3,4,4,1
1,1,6,1976,2,1,4,4,1
1,1,5,1959,3,1,2,3,1
1,1,3,1978,3,1,4,4,2
1,1,5,1969,2,1,4,3,2
1,1,5,1970,3,1,2,4,2
1,2,6,1982,3,1,3,4,1
1,1,5,1986,2,1,4,3,2
1,3,6,1951,3,1,4,3,1
1,1,5,1968,2,3,4,2,1
1,1,4,1984,3,1,3,1,1
2,2,5,1983,3,3,4,3,2
1,4,4,1968,1,1,3,2,1
1,2,6,1986,1,2,4,2,2
1,2,5,1983,2,3,4,4,2
5,5,5,1981,3,3,5,5,1
2,2,6,1949,2,1,1,1,1
1,3,5,1985,3,1,3,3,1
,,3,1980,,1,,,1
1,2,5,1973,1,3,4,2,1
1,2,3,1962,2,1,3,4,1
2,4,3,1985,1,2,3,3,1
1,4,5,1978,1,1,4,3,2
1,1,6,1965,3,1,3,2,2
3,3,5,1977,2,1,1,2,2
1,1,5,1985,2,1,2,1,1
1,1,2,1964,2,1,4,4,1
1,4,2,1963,3,2,4,2,2
1,3,2,1968,2,2,4,3,2
1,2,5,1983,3,1,2,3,1
1,1,6,1977,3,1,4,4,2
2,2,3,1977,2,1,3,3,1
1,2,5,1982,3,3,4,3,2
1,1,4,1979,3,2,4,4,2
2,3,3,1986,1,1,3,3,2
1,4,2,1978,3,2,4,4,2
1,2,3,1967,3,1,4,4,2
1,1,5,1986,2,3,3,2,2
1,2,3,1975,2,2,4,3,1
1,2,5,1941,3,1,4,2,1
1,3,5,1960,2,2,4,3,2
1,4,6,1966,3,1,2,2,2
1,4,5,1963,3,2,4,4,2
2,1,5,1966,3,1,3,3,2
1,4,2,1959,3,2,4,2,2
1,4,5,1950,3,1,4,3,2
1,4,5,1969,3,2,4,3,2
2,2,4,1951,3,1,2,3,2
1,3,6,1969,3,2,3,3,2
2,3,6,1945,2,1,3,2,1
1,4,2,1951,2,2,4,4,2
1,4,5,1944,3,2,4,2,2
2,1,3,1945,2,1,3,3,1
1,2,5,1948,3,3,2,2,2
1,4,3,1965,3,2,4,1,2
1,2,5,1974,2,2,3,2,1
1,3,5,1986,3,1,4,2,2
1,2,2,1955,2,1,4,3,2
1,1,5,1954,3,1,3,1,1
1,1,6,1958,3,2,4,4,2
1,4,5,1966,3,3,4,1,1
1,4,2,1950,2,3,4,3,1
1,4,2,1974,2,3,4,2,2
1,2,5,1963,3,1,3,2,2
1,3,4,1949,3,1,3,2,1
1,1,6,1971,3,1,2,4,2
1,3,5,1933,3,1,4,2,2
1,,5,1962,2,3,,1,1
1,1,5,1953,3,1,2,4,1
1,1,6,1941,3,1,4,4,2
1,2,6,1954,3,1,3,4,1
1,3,5,1948,3,2,4,4,2
1,2,6,1968,3,1,3,3,2
1,2,4,1960,3,2,3,3,1
1,4,5,1976,3,1,4,2,2
1,1,6,1928,3,1,2,4,1
1,4,3,1950,3,2,4,3,2
1,3,2,1944,2,1,4,2,2
1,3,3,1927,2,1,3,2,2
1,3,6,1937,3,1,3,2,2
1,3,6,1967,3,1,4,1,1
1,4,2,1956,3,2,,1,1
1,1,6,1971,3,1,3,3,1
1,4,5,1948,3,1,4,1,1
1,3,4,1956,3,2,4,4,2
1,1,5,1949,3,1,3,4,2
2,2,3,1943,2,1,3,2,2
1,2,5,1965,3,1,2,3,1
1,1,5,1952,3,1,3,3,2
1,4,3,1941,3,1,3,3,2
1,3,6,1975,3,1,3,2,1
1,4,4,1953,3,2,4,2,1
1,4,2,1932,3,2,4,3,2
2,2,6,1965,2,1,2,3,2
1,2,6,1970,2,,2,3,1
1,2,5,1955,2,2,4,4,2
1,2,5,1985,3,1,1,2,2
2,2,6,1932,3,1,4,1,2
2,4,2,1943,2,1,,3,1
2,1,3,1963,3,1,3,2,1
1,3,2,1948,3,2,4,4,1
2,4,3,1949,1,1,3,3,2
1,2,5,1967,3,2,4,3,1
1,3,6,1952,2,2,4,2,2
2,3,5,1953,3,1,2,2,1
1,2,5,1948,3,1,3,2,2
1,1,5,1980,3,1,3,3,2
2,2,6,1969,3,1,2,2,1
1,1,5,1953,3,1,3,3,1
1,2,2,1955,3,1,4,1,2
1,1,6,1959,3,1,2,1,2
1,2,3,1938,3,1,3,3,1
1,2,5,1934,3,1,3,3,2
1,1,4,1964,3,1,2,3,1
1,3,6,1940,3,2,3,3,2
1,2,4,1937,3,1,3,1,2
1,2,5,1936,3,1,2,2,2
1,2,6,1949,2,2,4,3,2
1,1,5,1955,3,1,4,4,1
1,2,5,1943,2,1,4,4,2
1,1,6,1944,3,3,2,3,1
1,4,3,1948,2,1,4,3,2
1,3,6,1960,3,1,3,3,1
1,2,6,1938,3,1,1,1,2
1,1,5,1974,3,1,2,4,1
1,4,3,1964,3,2,4,4,1
1,1,3,1966,2,1,4,3,2
1,3,6,1954,3,1,2,3,1
1,2,4,1956,3,3,3,3,2
1,4,3,1964,3,2,4,3,1
1,1,5,1953,3,2,4,4,2
2,3,6,1949,3,1,4,3,2
1,1,6,1946,3,1,2,4,1
1,2,5,1955,3,1,4,1,1
1,4,5,1985,2,1,3,1,2
1,2,5,1966,2,1,4,2,1
1,1,6,1970,3,1,4,3,1
1,2,3,1948,2,3,3,1,1
1,2,5,1980,3,1,3,3,2
1,1,2,1956,1,1,4,4,2
1,2,2,1947,2,1,4,3,2
1,1,3,1942,3,1,4,3,2
1,2,3,1948,3,1,3,3,1
1,3,6,1949,3,1,1,1,2
1,2,3,1954,2,1,4,3,1
1,2,5,1964,3,2,4,4,1
2,1,5,1986,3,1,3,3,1
1,2,6,1952,3,1,2,3,1
2,1,3,1983,2,1,2,4,2
1,2,5,1982,3,1,3,4,2
2,2,6,1980,3,1,4,4,2
1,1,4,1985,3,1,4,2,1
2,2,4,1989,1,2,2,4,2
1,1,2,1972,3,1,3,4,1
2,2,6,1981,1,1,3,4,2
1,2,6,1957,3,1,2,4,2
1,4,6,1967,3,3,4,3,2
1,1,5,1982,3,1,3,2,1
1,3,5,1949,3,2,4,2,1
1,3,6,1959,3,1,3,1,2
1,1,4,1963,3,3,4,2,2
1,4,6,1955,3,2,3,3,1
2,3,6,1942,3,1,3,1,2
1,4,5,1964,2,1,1,1,1
1,1,3,1959,3,1,3,3,2
1,1,3,1964,3,1,4,4,1
1,1,6,1941,3,1,3,3,1
1,2,6,1975,3,1,3,2,1
1,4,5,1934,3,1,1,2,1
1,4,3,1941,3,2,4,4,2
2,1,4,1932,2,3,2,1,1
1,4,6,1943,3,2,4,3,2
1,1,3,1937,3,1,2,4,2
1,2,2,1951,3,1,3,2,1
2,3,6,1946,3,1,3,2,2
1,2,5,1945,3,1,2,4,1
1,2,2,1948,3,1,3,1,1
1,4,4,1953,3,1,4,3,2
1,2,2,1937,3,2,4,3,2
1,3,5,1966,2,1,4,4,2
1,4,2,1953,3,3,4,4,2
1,4,6,1961,3,2,4,1,1
1,2,6,1938,3,1,2,3,2
1,2,3,1970,3,3,4,2,2
1,1,2,1946,3,1,3,2,1
1,2,6,1965,3,1,3,1,2
1,1,5,1981,3,1,4,4,1
1,3,5,1974,3,2,4,2,1
1,1,5,1969,3,1,4,1,1
1,1,5,1977,3,1,2,3,1
3,2,3,1991,2,1,3,4,2
1,1,5,1966,3,3,4,1,2
1,4,1,1951,3,2,4,4,2
1,3,1,1947,3,3,4,3,2
1,3,5,1956,3,2,4,2,1
1,1,5,1987,2,1,3,2,1
2,1,6,1963,3,1,3,1,2
1,4,5,1972,2,2,4,3,2
1,3,6,1967,1,1,4,3,1
1,2,3,1965,3,3,4,2,1
1,3,6,1973,2,2,4,,1
1,3,5,1958,2,1,4,4,1
1,1,4,1976,3,1,3,4,2
1,2,3,1973,3,1,2,3,1
2,1,6,1951,3,1,3,2,2
1,1,6,1972,2,2,3,1,1
1,2,3,1977,3,2,3,4,1
1,4,2,1951,3,2,4,3,1
1,3,5,1954,3,,4,1,2
2,4,5,1949,3,2,3,2,1
1,1,3,1948,3,1,3,4,1
3,4,4,1959,3,1,3,3,1
1,2,5,1940,3,1,3,3,1
2,3,6,1959,2,1,3,2,2
1,3,6,1958,3,2,3,2,2
1,4,3,1955,2,1,2,,1
1,1,6,1967,3,1,2,1,1
1,3,2,1941,2,1,4,3,2
1,4,5,1956,2,2,4,3,2
1,2,3,1942,3,1,2,2,1
,1,3,1939,2,2,4,,2
1,2,3,1947,3,1,3,3,1
1,2,3,1948,3,1,4,3,2
1,4,3,1961,3,2,4,1,1
1,1,5,1980,3,1,3,2,2
1,2,3,1965,3,1,3,2,2
2,1,5,1962,2,3,3,4,2
2,2,6,1977,3,1,3,3,2
1,2,3,1963,3,1,4,3,2
1,4,6,1960,3,2,4,1,2
1,2,5,1953,3,1,4,2,1
1,3,2,1955,2,3,4,1,1
1,4,3,1951,3,2,4,4,1
1,4,5,1960,3,2,4,2,2
1,2,6,1968,3,1,3,1,1
1,1,3,1947,3,1,4,4,1
1,4,3,1956,3,2,4,1,1
1,1,5,1935,3,2,4,4,1
1,4,6,1957,3,2,4,1,1
1,4,3,1948,3,2,4,3,2
1,2,5,1953,3,1,2,1,2
1,4,5,1960,3,2,4,2,2
1,4,6,1971,3,2,4,4,2
1,4,5,1949,3,2,4,4,2
1,4,2,1951,2,2,3,4,1
1,4,5,1974,2,1,4,4,1
1,1,3,1967,2,1,3,4,1
1,4,5,1960,3,2,4,4,2
1,4,5,1979,3,2,4,4,1
1,1,5,1949,3,1,3,4,2
1,2,5,1953,3,1,2,3,1
2,2,6,1977,3,1,3,3,2
1,3,5,1946,3,2,4,2,1
5,5,6,1964,3,1,5,5,1
1,1,6,1957,2,3,4,4,1
1,1,5,1969,3,1,4,4,2
1,2,3,1966,2,1,4,4,2
1,3,5,1943,3,2,4,2,1
1,4,4,1945,3,2,4,4,1
1,4,2,1960,3,2,4,3,1
1,2,6,1951,3,1,4,2,1
1,1,5,1966,3,1,2,4,1
1,4,3,1955,3,2,4,2,2
1,2,3,1961,3,1,4,3,2
1,2,2,1973,3,1,3,3,1
1,1,3,1935,3,1,1,2,1
1,1,5,1933,3,,4,1,1
2,2,5,1952,3,1,3,2,1
1,2,3,1965,3,1,3,1,1
1,2,6,1983,3,1,3,2,1
1,4,5,1965,3,2,4,2,2
1,1,5,1962,3,1,4,1,2
1,4,3,1952,3,1,3,1,2
1,3,6,1972,3,3,4,2,1
1,2,3,1949,3,1,4,3,2
2,2,6,1953,3,1,2,3,2
1,3,5,1974,3,1,3,3,1
1,4,3,1935,3,2,4,1,1
1,1,5,1948,3,2,4,4,1
1,4,6,1983,3,2,4,3,1
1,4,3,1967,3,2,4,3,2
2,3,5,1974,2,1,3,4,2
2,1,3,1974,3,1,3,2,2
1,2,6,1967,3,1,3,4,2
1,2,5,1983,3,1,4,3,2
1,1,6,1960,3,1,3,4,2
1,4,2,1952,2,3,1,2,1
1,4,6,1939,3,2,4,3,1
1,4,2,1964,3,2,4,1,2
1,2,5,1948,3,1,3,2,2
1,1,3,1968,3,1,2,1,1
2,1,6,1975,3,1,2,1,1
1,3,5,1973,3,1,4,1,2
1,3,3,1969,3,1,3,2,1
1,1,3,1936,2,1,3,4,1
1,2,2,1952,3,1,3,3,2
2,2,3,1933,3,1,3,2,2
1,4,6,1967,3,1,4,2,1
1,3,4,1962,3,2,4,1,2
1,2,4,1963,3,2,4,4,1
1,3,3,1969,3,1,3,2,1
1,2,2,1933,2,2,4,3,1
1,4,4,1955,2,3,4,2,2
1,3,2,1967,3,2,4,2,2
1,4,5,1961,3,3,4,3,1
1,2,6,1977,3,1,3,2,2
1,1,3,1958,3,1,3,4,1
1,2,6,1982,2,2,3,4,1
1,2,4,1943,3,1,4,3,2
1,4,2,1939,3,2,4,4,2
1,1,5,1962,3,1,2,3,2
2,4,3,1963,2,3,3,2,2
1,1,6,1967,3,1,3,4,2
1,2,3,1957,3,1,1,3,2
1,1,2,1960,3,1,3,4,1
2,2,4,1965,2,1,1,1,2
1,1,3,1975,3,3,4,3,1
2,1,3,1951,3,1,2,4,2
1,4,6,1961,3,2,4,4,1
1,4,4,1955,2,1,4,3,2
1,3,5,1949,3,3,4,4,2
1,1,5,1982,3,1,3,2,2
1,1,6,1965,3,1,3,2,1
1,1,6,1960,3,1,3,4,1
2,2,3,1954,3,1,4,3,1
1,2,5,1946,3,3,4,4,1
1,3,5,1947,3,2,4,3,2
3,1,6,1980,3,1,2,4,2
1,4,2,1966,3,2,4,4,1
1,2,2,1966,3,1,3,2,2
1,3,3,1965,3,2,3,1,1
2,3,5,1962,3,3,3,2,1
,4,5,1955,3,2,,,2
2,2,5,1983,3,2,4,4,1
1,2,5,1969,3,1,3,1,1
2,2,4,1970,3,1,2,3,2
1,2,5,1945,3,1,3,1,2
1,1,6,1963,3,1,3,3,2
1,1,5,1946,3,1,3,4,2
1,2,4,1956,3,1,3,1,1
1,3,6,1943,2,1,4,3,1
1,1,6,1954,3,3,1,4,2
1,2,3,1930,3,1,3,4,1
2,2,5,1975,3,1,4,3,2
1,2,2,1941,3,1,3,2,2
1,1,6,1957,3,1,3,3,1
2,1,3,1948,3,3,3,4,1
1,2,6,1955,3,1,3,3,2
2,4,3,1976,3,2,4,3,2
1,4,2,1940,3,1,4,1,2
1,1,3,1962,3,1,2,3,2
1,4,2,1952,3,2,4,3,2
1,3,6,1984,3,1,4,3,2
1,2,2,1982,3,3,2,2,1
1,2,5,1961,2,1,2,3,1
1,2,5,1960,3,1,2,3,2
1,4,5,1943,3,2,4,4,1
1,3,6,1942,3,2,4,2,2
1,4,6,1969,3,2,4,1,2
1,1,5,1953,3,1,4,4,2
1,3,6,1948,3,1,3,2,1
1,1,6,1954,2,,3,4,2
1,4,3,1964,3,2,4,3,1
1,2,6,1955,3,1,3,1,1
1,1,3,1956,3,1,3,3,1
2,2,6,1938,3,1,3,1,2
1,4,3,1950,3,3,4,3,1
1,2,5,1986,1,1,2,4,1
1,4,3,1947,3,2,4,1,2
1,1,2,1963,3,1,2,2,2
1,2,6,1961,3,1,3,2,2
1,1,5,1963,2,1,4,2,1
1,2,3,1952,3,1,2,1,2
2,3,6,1970,3,1,3,3,1
1,3,3,1938,3,1,3,3,2
1,4,2,1933,3,2,4,4,2
1,4,5,1986,3,2,4,3,2
1,4,3,1951,2,1,4,2,2
1,4,5,1953,3,1,1,4,2
1,4,3,1964,3,2,4,2,2
1,2,2,1940,3,3,4,3,2
1,3,6,1967,3,2,4,4,2
1,1,4,1948,3,1,3,2,1
1,4,5,1978,3,2,4,4,1
1,4,3,1963,3,3,4,4,2
1,2,4,1953,3,3,3,3,2
1,4,2,1956,3,1,3,2,2
1,1,3,1941,3,1,3,4,2
1,1,5,1952,3,1,2,1,2
1,2,2,1945,3,3,3,3,2
2,4,3,1967,3,1,4,3,1
1,2,4,1946,3,1,2,3,1
1,3,3,1948,2,1,4,3,2
1,3,3,1948,3,3,4,2,1
1,1,5,1931,3,1,3,1,1
1,2,6,1958,3,1,4,2,2
1,2,2,1934,3,1,4,4,1
1,1,6,1972,3,1,1,4,2
1,1,6,1946,3,1,4,4,2
1,4,2,1944,3,2,4,1,1
1,2,5,1964,3,1,3,1,2
1,4,4,1955,3,2,4,3,2
2,4,3,1952,2,1,2,1,1
